,code,decimal_point,name,pre_close,volunit,type,kind,market,type2,py
221,880025,2.0,中小涨跌,472.0,100.0,指数板块,板块,1,0,ZXZD
222,880026,2.0,中小停板,1544.0,100.0,指数板块,板块,1,0,ZXTB
223,880031,2.0,创业总值,676.4299926757812,100.0,指数板块,板块,1,0,CYZZ
224,880032,2.0,创业流通,443.3999938964844,100.0,指数板块,板块,1,0,CYLT
225,880037,2.0,创业活筹,314.4700012207031,100.0,指数板块,板块,1,0,CYHC
226,880033,2.0,创业平均,23.260000228881836,100.0,指数板块,板块,1,0,CYPJ
227,880034,2.0,创业均价,1768.005000114441,100.0,指数板块,板块,1,0,CYJJ
228,880035,2.0,创业涨跌,396.0,100.0,指数板块,板块,1,0,CYZD
229,880036,2.0,创业停板,23.0,100.0,指数板块,板块,1,0,CYTB
230,880201,2.0,黑龙江,736.4600219726562,100.0,指数板块,板块,1,0,HLJ
231,880202,2.0,新疆板块,750.030029296875,100.0,指数板块,板块,1,0,XJBK
232,880203,2.0,吉林板块,994.8200073242188,100.0,指数板块,板块,1,0,JLBK
233,880204,2.0,甘肃板块,1016.8900146484375,100.0,指数板块,板块,1,0,GSBK
234,880205,2.0,辽宁板块,795.7899780273438,100.0,指数板块,板块,1,0,LNBK
235,880206,2.0,青海板块,345.760009765625,100.0,指数板块,板块,1,0,QHBK
236,880207,2.0,北京板块,1298.75,100.0,指数板块,板块,1,0,BJBK
237,880208,2.0,陕西板块,986.0999755859375,100.0,指数板块,板块,1,0,SXBK
238,880209,2.0,天津板块,881.530029296875,100.0,指数板块,板块,1,0,TJBK
239,880210,2.0,广西板块,761.5599975585938,100.0,指数板块,板块,1,0,GXBK
240,880211,2.0,河北板块,808.260009765625,100.0,指数板块,板块,1,0,HBBK
241,880212,2.0,广东板块,2127.60009765625,100.0,指数板块,板块,1,0,GDBK
242,880213,2.0,河南板块,986.5900268554688,100.0,指数板块,板块,1,0,HNBK
243,880214,2.0,宁夏板块,454.3599853515625,100.0,指数板块,板块,1,0,NXBK
244,880215,2.0,山东板块,1268.1600341796875,100.0,指数板块,板块,1,0,SDBK
245,880216,2.0,上海板块,1392.800048828125,100.0,指数板块,板块,1,0,SHBK
246,880217,2.0,山西板块,653.1400146484375,100.0,指数板块,板块,1,0,SXBK
247,880218,2.0,深圳板块,2334.929931640625,100.0,指数板块,板块,1,0,SZBK
248,880219,2.0,湖北板块,1293.4100341796875,100.0,指数板块,板块,1,0,HBBK
249,880220,2.0,福建板块,1689.5799560546875,100.0,指数板块,板块,1,0,FJBK
250,880221,2.0,湖南板块,1067.25,100.0,指数板块,板块,1,0,HNBK
251,880222,2.0,江西板块,1019.8200073242188,100.0,指数板块,板块,1,0,JXBK
252,880223,2.0,四川板块,1589.56005859375,100.0,指数板块,板块,1,0,SCBK
253,880224,2.0,安徽板块,1208.6700439453125,100.0,指数板块,板块,1,0,AHBK
254,880225,2.0,重庆板块,1145.7900390625,100.0,指数板块,板块,1,0,ZQBK
255,880226,2.0,江苏板块,1514.260009765625,100.0,指数板块,板块,1,0,JSBK
256,880227,2.0,云南板块,965.1599731445312,100.0,指数板块,板块,1,0,YNBK
257,880228,2.0,浙江板块,1647.18994140625,100.0,指数板块,板块,1,0,ZJBK
258,880229,2.0,贵州板块,5043.759765625,100.0,指数板块,板块,1,0,GZBK
259,880230,2.0,海南板块,691.3400268554688,100.0,指数板块,板块,1,0,HNBK
260,880231,2.0,西藏板块,568.4500122070312,100.0,指数板块,板块,1,0,XCBK
261,880232,2.0,内蒙板块,1191.3399658203125,100.0,指数板块,板块,1,0,NMBK
262,880301,2.0,煤炭,559.6199951171875,100.0,指数板块,板块,1,0,MT
263,880302,2.0,煤炭开采,567.219970703125,100.0,指数板块,板块,1,0,MTKC
264,880303,2.0,焦炭加工,483.7099914550781,100.0,指数板块,板块,1,0,JTJG
265,880305,2.0,电力,1244.5899658203125,100.0,指数板块,板块,1,0,DL
266,880306,2.0,水力发电,1711.3900146484375,100.0,指数板块,板块,1,0,SLFD
267,880307,2.0,火力发电,986.1900024414062,100.0,指数板块,板块,1,0,HLFD
268,880308,2.0,新型电力,682.0800170898438,100.0,指数板块,板块,1,0,XXDL
269,880310,2.0,石油,720.9600219726562,100.0,指数板块,板块,1,0,SY
270,880311,2.0,石油开采,611.489990234375,100.0,指数板块,板块,1,0,SYKC
271,880312,2.0,石油加工,1042.3399658203125,100.0,指数板块,板块,1,0,SYJG
272,880313,2.0,石油贸易,1050.22998046875,100.0,指数板块,板块,1,0,SYMY
273,880318,2.0,钢铁,691.0599975585938,100.0,指数板块,板块,1,0,GT
274,880319,2.0,普钢,637.3200073242188,100.0,指数板块,板块,1,0,PG
275,880320,2.0,特种钢,1007.25,100.0,指数板块,板块,1,0,TZG
276,880321,2.0,钢加工,761.3599853515625,100.0,指数板块,板块,1,0,GJG
277,880324,2.0,有色,558.989990234375,100.0,指数板块,板块,1,0,YS
278,880325,2.0,铜,478.3399963378906,100.0,指数板块,板块,1,0,T
279,880326,2.0,铝,491.6300048828125,100.0,指数板块,板块,1,0,L
280,880327,2.0,铅锌,429.3599853515625,100.0,指数板块,板块,1,0,QX
281,880328,2.0,黄金,680.3200073242188,100.0,指数板块,板块,1,0,HJ
282,880329,2.0,小金属,658.2000122070312,100.0,指数板块,板块,1,0,XJS
283,880330,2.0,化纤,1675.31005859375,100.0,指数板块,板块,1,0,HX
284,880335,2.0,化工,1076.9200439453125,100.0,指数板块,板块,1,0,HG
285,880336,2.0,化工原料,1173.3900146484375,100.0,指数板块,板块,1,0,HGYL
286,880337,2.0,农药化肥,796.6300048828125,100.0,指数板块,板块,1,0,NYHF
